INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (1, 6, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-12-30', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (29, 10, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-03-17', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (30, 3, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-04-09', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (31, 7, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-08-12', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (32, 2, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-07-28', 6);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (33, 5, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-05-16', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (34, 10, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-04-16', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (35, 1, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-06-06', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (36, 9, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-07-22', 7);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (37, 9, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-02-09', 8);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (38, 2, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-03-29', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (39, 8, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-12-31', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (40, 1, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-01-03', 27);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (41, 5, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-04-13', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (42, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-09-28', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (43, 4, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-11-15', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (44, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-02-18', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (45, 1, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-08-10', 8);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (46, 2, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-07-26', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (47, 6, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-08-01', 25);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (48, 8, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-08-13', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (49, 7, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-04-29', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (50, 7, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-05-04', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (51, 10, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-08-27', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (52, 4, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-05-10', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (53, 8, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-11-27', 5);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (54, 8, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-08-18', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (55, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-05-03', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (56, 3, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-04-20', 6);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (57, 9, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-09-29', 16);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (58, 6, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-10-24', 27);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (59, 10, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-03-24', 6);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (60, 5, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-10-29', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (61, 8, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-07-21', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (62, 10, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-03-04', 23);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (63, 2, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-08-23', 27);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (64, 5, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-05-03', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (65, 1, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-04-24', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (66, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-09-23', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (67, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-06-06', 6);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (68, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-07-05', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (69, 5, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-12-17', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (70, 4, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-01-29', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (71, 9, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-05-29', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (72, 1, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-11-05', 19);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (73, 6, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-04-10', 13);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (74, 3, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-08-22', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (75, 9, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-07-27', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (76, 5, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-11-07', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (77, 8, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-11-22', 25);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (78, 1, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-03-15', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (79, 1, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-08-03', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (80, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-04-21', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (81, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-04-16', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (82, 10, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-08-14', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (83, 5, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-12-06', 24);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (84, 5, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-01-19', 23);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (85, 2, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-10-12', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (86, 10, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-03-01', 21);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (87, 8, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-01-25', 18);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (88, 2, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-07-03', 25);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (89, 3, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-02-03', 7);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (90, 8, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-03-14', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (91, 1, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-12-03', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (92, 9, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-03-03', 9);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (93, 4, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-02-24', 16);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (94, 4, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-12-07', 20);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (95, 2, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-05-20', 23);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (96, 6, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-11-04', 5);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (97, 2, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-08-07', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (98, 1, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-06-29', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (99, 4, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-12-02', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (100, 1, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-10-15', 19);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (101, 5, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-05-03', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (102, 1, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-03-25', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (103, 6, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-09-21', 19);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (104, 3, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-12-24', 11);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (105, 5, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-02-10', 30);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (106, 7, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-03-02', 27);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (107, 4, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-12-12', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (108, 10, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-06-17', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (109, 10, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-09-10', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (110, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-06-11', 19);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (111, 9, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-11-16', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (112, 1, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-07-12', 22);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (113, 6, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-02-10', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (114, 2, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-07-05', 14);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (115, 9, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-06-26', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (116, 3, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-09-16', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (117, 9, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-08-25', 9);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (118, 4, 'dia12h', '07:00:00.000000', '19:00:00.000000', '2023-10-07', 7);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (119, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-10-02', 9);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (120, 5, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-01-18', 7);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (121, 1, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-12-30', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (122, 10, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-08-25', 29);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (123, 4, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-12-01', 6);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (124, 10, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-10-07', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (125, 7, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-07-11', 14);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (126, 10, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-09-17', 14);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (127, 4, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-03-02', 28);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (128, 6, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-08-27', 12);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (129, 7, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-06-11', 17);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (130, 8, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-11-20', 25);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (131, 3, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-01-24', 26);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (132, 1, 'noche12h', '19:00:00.000000', '07:00:00.000000', '2023-08-11', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (133, 9, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-08-11', 10);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (134, 10, 'tarde8h', '14:00:00.000000', '22:00:00.000000', '2023-10-07', 21);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (135, 7, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-11-28', 21);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (136, 8, 'mañana8h', '06:00:00.000000', '14:00:00.000000', '2023-04-23', 15);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (137, 2, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-07-23', 16);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (138, 9, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-05-31', 8);
INSERT INTO public.turnos(turno_id, medico_id, nombre, hora_inicio, hora_final, fecha, n_pacientes) VALUES (139, 9, 'noche8h', '22:00:00.000000', '06:00:00.000000', '2023-08-02', 28);
